SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,LATITUDE,LONGITUDE
PAST SALE,February-11-2019,Single Family Residential,11506 Edgepark Dr,Garfield Heights,OH,44125,56000,3,1,Garfield Park Allotment 02,1152,6098,1951,722,49,0,Sold,41.4237492,-81.603185
PAST SALE,February-13-2019,Single Family Residential,11107 Plymouth Ave,Cleveland,OH,44125,71500,3,1,Rosel Guarantee Realty Co,1131,4356,1944,720,63,0,Sold,41.4241105,-81.6067477
PAST SALE,February-22-2019,Single Family Residential,4946 E 108th St,Garfield Heights,OH,44125,95000,4,2,Garfield Park,1560,4356,1927,711,61,0,Sold,41.4263359,-81.6098651
PAST SALE,May-29-2020,Single Family Residential,6273 Winchester Dr,Seven Hills,OH,44131,232000,3,2.5,Overlook,1800,12632,1968,249,129,0,Sold,41.3936488,-81.6756279
PAST SALE,April-1-2019,Single Family Residential,3729 E 53rd St,Cleveland,OH,44105,33000,4,2,Cleveland,1764,4356,1910,673,19,0,Sold,41.4566329,-81.6529804
PAST SALE,April-8-2019,Single Family Residential,3736 E 53rd St,Cleveland,OH,44105,6000,2,1,Slavic Village,984,6098,1890,666,6,0,Sold,41.456442,-81.6536349
PAST SALE,April-8-2019,Single Family Residential,2847 W 14th St,Cleveland,OH,44113,207000,3,2,Tremont,1760,3484,1905,666,118,0,Sold,41.4733939,-81.6908351
PAST SALE,May-19-2020,Single Family Residential,1702 Amberley Ave,Cleveland,OH,44109,92000,3,1.5,Vassar Park,1076,3920,1924,259,86,0,Sold,41.4402937,-81.6932731
PAST SALE,December-23-2019,Single Family Residential,5119 W 5th St,Brooklyn Heights,OH,44131,71000,2,1,Brooklyn Heights,931,4791,1933,407,76,0,Sold,41.4158704,-81.6811251
PAST SALE,October-22-2019,Single Family Residential,4631 Blythin Rd,Garfield Heights,OH,44125,54499,3,2,Garfield Blvd,1093,4791,1924,469,50,0,Sold,41.4333875,-81.6298162
PAST SALE,August-27-2019,Single Family Residential,2803 Tuxedo Ave,Parma,OH,44134,124900,4,1,Aupings Gardens,1359,4791,1949,525,92,0,Sold,41.4157907,-81.7025539
